City,Region,Neighborhood,Property Type,Area (sqm),Bedrooms,Bathrooms,Floor Number,Elevator,Property Age (years),Furnished,Listing Type,Selling Price (SAR),random_date
Riyadh,South,Al-Marwah,apartment,134,1,1,4,No,5,Yes,Sale,152231.94,2023-12-31
Riyadh,East,Al-Khaleej,apartment,279,1,1,3,No,5,Yes,Sale,1272093.43,2020-01-04
Riyadh,North,Al-Falah,apartment,249,4,2,3,No,6,No,Sale,2201081.42,2022-08-14
Riyadh,West,Tuwaiq,apartment,103,1,4,3,Yes,8,No,Sale,325611.89,2021-06-28
Riyadh,East,Al-Khaleej,apartment,236,1,3,1,Yes,10,Yes,Sale,815917.64,2022-05-31
Riyadh,South,Badr,apartment,277,3,4,4,Yes,2,No,Sale,328332.98,2024-03-01
Riyadh,North,Al-Aqiq,apartment,206,4,1,3,Yes,4,Yes,Sale,1693311.09,2020-10-10
Riyadh,West,Dhahret Laban,apartment,170,1,4,1,Yes,8,No,Sale,369639.43,2022-07-18
Riyadh,West,Al-Suwaidi Al-Gharbi (Western Suwaidi),apartment,123,4,1,3,Yes,4,Yes,Sale,418440.02,2022-11-03
Riyadh,South,Al-Khalidiyah,apartment,284,3,3,2,Yes,5,No,Sale,472953.34,2024-03-27
Riyadh,North,Al-Nakheel Al-Gharbi (Western Nakheel),apartment,191,3,3,1,Yes,8,No,Sale,1809591.45,2021-01-14
Riyadh,North,Al-Wadi,apartment,104,2,2,1,Yes,9,No,Sale,1241442.5,2021-09-26
Riyadh,North,Al-Ghadeer,apartment,239,2,4,3,No,4,Yes,Sale,2467233.67,2024-12-20
Riyadh,East,Al-Khaleej,apartment,91,1,2,5,No,6,No,Sale,419954.33,2020-01-26
Riyadh,North,Al-Qirawan,apartment,254,1,3,3,Yes,5,No,Sale,2402793.13,2020-08-11
Riyadh,East,Al-Rawdah,apartment,281,1,4,3,Yes,8,No,Sale,982642.2,2024-08-17
Riyadh,Central,Al-Malaz,apartment,236,1,3,4,Yes,4,Yes,Sale,257830.61,2021-10-31
Riyadh,West,Dhahret Laban,apartment,129,4,1,2,No,5,No,Sale,496308.97,2024-01-07
Riyadh,West,Al-Suwaidi,apartment,270,2,1,3,No,4,Yes,Sale,732989.03,2022-01-14
Riyadh,North,Al-Nada,apartment,240,2,2,3,Yes,8,No,Sale,2105968.85,2021-01-12
Riyadh,North,Al-Aarid,apartment,138,3,4,3,Yes,10,No,Sale,1409367.18,2022-05-05
Riyadh,Central,Al-Batha,apartment,248,1,4,1,Yes,4,No,Sale,317764.15,2024-04-29
Riyadh,Central,Al-Morouj,apartment,100,1,1,5,No,7,Yes,Sale,164206.94,2022-08-06
Riyadh,North,Al-Qirawan,apartment,222,2,2,5,No,8,Yes,Sale,2660463.45,2022-08-26
Riyadh,West,Dhahiyat Laban (Laban Suburb),apartment,197,1,4,2,No,1,Yes,Sale,760115.63,2023-05-03
Riyadh,South,Al-Marwah,apartment,129,4,2,1,Yes,7,Yes,Sale,191285.88,2020-10-31
Riyadh,Central,Al-Morouj,apartment,273,2,2,2,Yes,8,Yes,Sale,457184.47,2024-01-18
Riyadh,East,Qurtubah,apartment,130,1,2,4,Yes,4,Yes,Sale,506753.36,2023-03-06
Riyadh,West,Al-Mousa,apartment,249,1,4,3,No,8,Yes,Sale,812357.95,2024-02-12
Riyadh,South,Badr,apartment,160,2,4,3,Yes,5,Yes,Sale,141497.82,2021-09-12
Riyadh,Central,Al-Olaya,apartment,204,4,2,1,No,5,No,Sale,433694.68,2023-08-16
Riyadh,North,Al-Malqa,apartment,181,4,4,1,Yes,1,Yes,Sale,1477848.4,2023-01-23
Riyadh,North,Al-Jameah (University District),apartment,183,3,2,3,Yes,8,No,Sale,1439941.94,2022-03-07
Riyadh,East,Al-Khaleej,apartment,250,2,4,2,Yes,3,No,Sale,817336.09,2020-11-21
Riyadh,Central,Al-Murabba,apartment,203,2,4,5,No,5,No,Sale,323805.79,2024-07-23
Riyadh,South,Al-Difa,apartment,266,4,1,1,No,4,No,Sale,273968.85,2022-09-15
Riyadh,South,Al-Dar Al-Baida,apartment,216,2,2,5,Yes,7,Yes,Sale,290218.41,2023-12-26
Riyadh,South,Al-Marwah,apartment,131,4,3,4,Yes,5,No,Sale,150381.47,2022-04-18
Riyadh,South,Al-Marwah,apartment,207,2,1,2,Yes,7,No,Sale,176487.61,2021-06-09
Riyadh,South,Al-Aziziyah,apartment,133,2,1,2,No,2,No,Sale,203902.22,2021-12-09
Riyadh,East,Al-Khaleej,apartment,155,1,3,2,No,5,No,Sale,525602.86,2021-05-08
Riyadh,West,Ad-Diriyah,apartment,223,1,1,2,Yes,9,Yes,Sale,568553.43,2024-09-30
Riyadh,Central,Al-Jaradiyah,apartment,103,3,3,3,Yes,2,Yes,Sale,119561.44,2021-03-27
Riyadh,Central,Al-Fakheriyah,apartment,263,3,3,1,Yes,10,Yes,Sale,545799.12,2024-05-30
Riyadh,East,Al-Naseem Al-Sharqi (Eastern Naseem),apartment,206,2,2,3,Yes,4,No,Sale,841784.1,2020-04-15
Riyadh,West,Al-Suwaidi Al-Gharbi (Western Suwaidi),apartment,193,4,4,1,No,9,No,Sale,500719.41,2021-02-13
Riyadh,West,Al-Suwaidi Al-Gharbi (Western Suwaidi),apartment,267,1,1,1,No,2,Yes,Sale,1017700.82,2020-06-28
Riyadh,South,Al-Mansourah,apartment,152,2,4,1,No,2,No,Sale,134575.98,2021-03-28
Riyadh,West,Namar,apartment,273,4,1,3,Yes,4,No,Sale,548906.1,2020-03-14
Riyadh,West,Al-Oraija Al-Gharbi (Western Oraija),apartment,159,4,4,3,No,8,No,Sale,635344.7,2023-01-07
Riyadh,West,Al-Suwaidi,apartment,262,3,3,5,Yes,4,Yes,Sale,968852.21,2022-12-26
Riyadh,North,Al-Nakheel Al-Sharqi (Eastern Nakheel),apartment,165,1,1,3,No,5,No,Sale,1977874.09,2020-07-01
Riyadh,West,Sultanah,apartment,277,2,3,4,Yes,7,Yes,Sale,656305.93,2023-11-22
Riyadh,Central,Al-Murqab,apartment,150,3,1,2,Yes,5,No,Sale,221174.61,2023-10-25
Riyadh,South,Al-Marwah,apartment,120,4,2,5,Yes,6,No,Sale,143373.26,2023-12-27
Riyadh,Central,Al-Morouj,apartment,225,3,3,3,Yes,5,Yes,Sale,276564.2,2022-07-02
Riyadh,South,Al-Mansourah,apartment,155,1,3,1,No,9,Yes,Sale,200331.04,2021-05-17
Riyadh,East,Al-Nahda,apartment,224,2,3,2,Yes,7,Yes,Sale,1143967.2,2024-05-09
Riyadh,West,Sultanah,apartment,195,4,2,1,Yes,9,No,Sale,581515.55,2021-12-07
Riyadh,West,Al-Suwaidi Al-Gharbi (Western Suwaidi),apartment,246,4,2,4,Yes,7,No,Sale,744385.56,2022-05-25
Riyadh,North,Hittin,apartment,103,4,3,1,Yes,4,Yes,Sale,864651.52,2023-03-03
Riyadh,East,Al-Hamra,apartment,258,4,1,3,No,1,Yes,Sale,1302182.53,2024-04-04
Riyadh,Central,Al-Maather,apartment,219,3,4,2,No,6,Yes,Sale,250579.83,2020-03-20
Riyadh,West,Namar,apartment,208,4,3,3,No,8,Yes,Sale,585765.39,2024-02-03
Riyadh,East,Al-Manar,apartment,183,4,4,2,Yes,9,Yes,Sale,740076.51,2022-01-03
Riyadh,North,Al-Nada,apartment,147,2,2,5,Yes,5,Yes,Sale,1834204.17,2022-06-27
Riyadh,West,Tuwaiq,apartment,149,1,4,3,No,6,Yes,Sale,329415.28,2020-02-08
Riyadh,North,Al-Nakheel Al-Sharqi (Eastern Nakheel),apartment,128,2,2,1,Yes,6,No,Sale,1519048.15,2021-05-16
Riyadh,West,Al-Mousa,apartment,209,2,2,1,Yes,2,No,Sale,695688.94,2024-03-25
Riyadh,South,Al-Mansourah,apartment,119,4,2,1,No,7,Yes,Sale,136735.28,2020-04-07
Riyadh,West,Tuwaiq,apartment,150,3,3,2,Yes,9,No,Sale,401745.44,2023-08-03
Riyadh,West,Dhahiyat Laban (Laban Suburb),apartment,178,1,1,2,No,1,No,Sale,407057.4,2020-12-18
Riyadh,North,Al-Aqiq,apartment,274,1,3,1,No,2,Yes,Sale,3215244.78,2024-12-29
Riyadh,West,Al-Huda,apartment,162,1,2,5,Yes,3,Yes,Sale,420231.65,2024-11-08
Riyadh,East,Al-Rimal,apartment,168,1,3,5,Yes,1,Yes,Sale,677506.53,2023-01-20
Riyadh,West,Al-Mousa,apartment,230,2,3,3,No,9,Yes,Sale,546566.59,2020-12-19
Riyadh,Central,Al-Jaradiyah,apartment,165,4,4,1,Yes,1,Yes,Sale,329651.78,2021-01-30
Riyadh,Central,Al-Murqab,apartment,227,2,3,2,No,1,Yes,Sale,447828.86,2024-06-21
Riyadh,South,Al-Shifa,apartment,159,4,1,2,No,6,No,Sale,162321.23,2020-12-07
Riyadh,Central,Al-Wurud,apartment,226,1,1,3,Yes,3,Yes,Sale,369552.21,2022-05-26
Riyadh,North,Al-Wadi,apartment,198,4,3,5,No,6,Yes,Sale,1619307.26,2024-01-02
Riyadh,North,Al-Qirawan,apartment,126,1,2,5,No,2,Yes,Sale,994888.81,2021-07-13
Riyadh,South,Al-Shaalan,apartment,241,3,1,5,Yes,4,Yes,Sale,217228.57,2020-03-22
Riyadh,West,Namar,apartment,277,4,3,2,Yes,1,Yes,Sale,1090111.37,2020-06-16
Riyadh,North,Al-Nada,apartment,141,2,2,3,Yes,8,No,Sale,1332843.32,2021-06-04
Riyadh,West,Namar,apartment,166,1,1,5,Yes,1,No,Sale,439044.99,2024-11-24
Riyadh,North,Al-Ghadeer,apartment,121,3,4,4,No,7,No,Sale,1101645.92,2020-06-17
Riyadh,East,Al-Jazirah,apartment,219,4,1,4,Yes,10,Yes,Sale,810476.92,2024-05-12
Riyadh,West,Al-Badiyah,apartment,215,4,4,1,No,9,Yes,Sale,463198.41,2022-06-20
Riyadh,Central,Al-Yamamah,apartment,236,4,1,1,No,3,No,Sale,354423.74,2020-08-06
Riyadh,South,Al-Haï¿½ï¿,apartment,271,2,4,3,No,5,No,Sale,312213.59,2023-04-09
Riyadh,East,Al-Munsiyah,apartment,284,3,3,2,Yes,4,No,Sale,1233835.85,2024-09-29
Riyadh,West,Tuwaiq,apartment,250,1,2,2,No,2,No,Sale,892761.04,2021-02-15
Riyadh,Central,Al-Maather,apartment,211,1,1,1,No,6,No,Sale,293001.78,2024-04-15
Riyadh,West,Al-Badiyah,apartment,208,2,2,1,Yes,3,No,Sale,466614.82,2021-01-01
Riyadh,East,Al-Khaleej,apartment,185,1,1,5,Yes,3,Yes,Sale,770738.05,2021-07-01
Riyadh,East,Qurtubah,apartment,187,1,4,4,Yes,8,No,Sale,742023.21,2023-01-07
Riyadh,South,Al-Dar Al-Baida,apartment,164,1,4,2,No,3,Yes,Sale,250105.89,2024-08-27
Riyadh,North,Al-Yasmeen,apartment,220,3,2,4,No,4,No,Sale,1716088.93,2021-07-30
Riyadh,North,Al-Malqa,apartment,202,2,2,3,No,9,Yes,Sale,1513451.52,2020-04-26
Riyadh,West,Sultanah,apartment,169,1,1,3,Yes,9,No,Sale,515451.54,2023-08-01
Riyadh,South,Al-Shifa,apartment,135,3,1,3,Yes,6,No,Sale,172159.26,2021-11-17
Riyadh,Central,Al-Fakheriyah,apartment,121,3,2,1,No,5,Yes,Sale,176188.0,2024-10-25
Riyadh,East,Al-Yarmouk,apartment,134,2,1,1,No,7,No,Sale,484095.59,2024-05-31
Riyadh,West,Tuwaiq,apartment,153,3,1,5,Yes,4,Yes,Sale,572018.1,2023-02-24
Riyadh,Central,Al-Olaya,apartment,264,1,4,2,No,1,Yes,Sale,490406.15,2022-09-12
Riyadh,North,Al-Ghadeer,apartment,264,4,1,5,Yes,4,Yes,Sale,2730481.06,2020-05-06
Riyadh,East,Al-Shuhada,apartment,232,3,2,5,No,1,No,Sale,774431.2,2021-04-14
Riyadh,Central,Al-Sulaimaniya,apartment,135,4,1,5,Yes,1,No,Sale,251588.06,2022-07-13
Riyadh,East,Al-Manar,apartment,141,2,4,2,No,2,Yes,Sale,672466.6,2021-02-12
Riyadh,East,Granada (Ghernata),apartment,160,3,4,1,No,6,No,Sale,568343.75,2023-05-09
Riyadh,East,Granada (Ghernata),apartment,184,2,4,4,Yes,8,No,Sale,835334.37,2024-05-26
Riyadh,Central,Al-Yamamah,apartment,96,4,4,2,No,6,No,Sale,206046.53,2023-04-20
Riyadh,South,Al-Difa,apartment,131,1,3,1,Yes,6,Yes,Sale,177588.04,2024-07-18
Riyadh,South,Al-Fawaz,apartment,200,4,2,3,No,8,Yes,Sale,213492.09,2021-11-28
Riyadh,East,Al-Naseem Al-Gharbi (Western Naseem),apartment,106,2,3,4,Yes,5,No,Sale,412651.68,2024-03-05
Riyadh,Central,Al-Malaz,apartment,153,1,1,3,No,6,Yes,Sale,258989.02,2020-01-11
Riyadh,North,Al-Rabi,apartment,122,4,2,3,Yes,1,Yes,Sale,1303613.33,2022-07-18
Riyadh,South,Al-Aziziyah,apartment,168,3,2,4,Yes,8,Yes,Sale,178871.88,2023-07-08
Riyadh,East,Al-Sulay,apartment,148,2,3,1,No,5,No,Sale,819781.87,2024-11-19
Riyadh,Central,Al-Jaradiyah,apartment,120,2,4,2,No,9,No,Sale,235055.57,2021-11-30
Riyadh,South,Al-Mansourah,apartment,266,4,4,3,No,3,No,Sale,412009.09,2022-11-25
Riyadh,Central,Al-Morouj,apartment,186,3,2,3,Yes,3,No,Sale,355892.18,2022-05-25
Riyadh,West,Tuwaiq,apartment,255,2,2,2,Yes,4,No,Sale,685370.14,2021-10-26
Riyadh,South,Al-Shaalan,apartment,191,2,2,1,No,4,No,Sale,237600.8,2021-03-07
Riyadh,West,Al-Huda,apartment,197,4,4,4,No,3,No,Sale,525096.64,2023-11-14
Riyadh,East,Al-Manar,apartment,188,1,3,5,No,4,No,Sale,870374.65,2024-12-13
Riyadh,West,Tuwaiq,apartment,130,1,1,1,Yes,6,No,Sale,309312.82,2021-05-21
Riyadh,West,Al-Suwaidi Al-Gharbi (Western Suwaidi),apartment,166,2,2,4,Yes,2,Yes,Sale,496347.01,2024-05-28
Riyadh,East,Al-Jazirah,apartment,143,3,1,4,Yes,10,No,Sale,706610.63,2021-03-19
Riyadh,West,Shubra,apartment,185,3,4,4,No,1,Yes,Sale,527818.69,2023-08-03
Riyadh,East,Al-Quds,apartment,230,3,2,1,Yes,10,Yes,Sale,1221367.39,2023-08-10
Riyadh,North,Al-Wadi,apartment,265,3,4,3,Yes,6,No,Sale,2686458.69,2024-12-28
Riyadh,East,Al-Yarmouk,apartment,169,2,3,3,Yes,3,Yes,Sale,731735.34,2022-07-26
Riyadh,South,Badr,apartment,203,2,4,2,Yes,7,Yes,Sale,250783.64,2024-06-04
Riyadh,North,Al-Aqiq,apartment,185,4,2,5,No,7,Yes,Sale,2119892.06,2024-07-03
Riyadh,North,Al-Izdihar,apartment,118,2,4,5,Yes,10,No,Sale,959720.72,2022-07-22
Riyadh,West,Al-Oraija Al-Gharbi (Western Oraija),apartment,234,1,3,2,Yes,9,Yes,Sale,897925.3,2022-09-07
Riyadh,West,Al-Badiyah,apartment,243,2,1,1,No,8,Yes,Sale,557521.03,2021-02-20
Riyadh,South,Al-Fawaz,apartment,211,4,4,4,No,7,No,Sale,294036.13,2023-04-26
Riyadh,Central,Al-Murabba,apartment,180,4,2,5,No,8,No,Sale,356994.25,2020-10-28
Riyadh,South,Al-Mansourah,apartment,224,3,2,1,Yes,8,No,Sale,224140.9,2022-02-12
Riyadh,South,Al-Dar Al-Baida,apartment,256,4,1,3,Yes,8,Yes,Sale,302382.73,2024-10-12
Riyadh,East,Qurtubah,apartment,182,2,2,4,Yes,10,Yes,Sale,746279.88,2021-08-10
Riyadh,South,Al-Difa,apartment,190,1,2,1,No,7,No,Sale,225629.33,2024-05-20
Riyadh,Central,Al-Wurud,apartment,230,3,1,4,No,2,No,Sale,456564.61,2022-05-08
Riyadh,Central,Al-Jaradiyah,apartment,98,3,4,4,Yes,9,No,Sale,202758.04,2024-02-11
Riyadh,Central,Al-Jaradiyah,apartment,119,4,2,2,No,7,No,Sale,198001.8,2020-09-12
Riyadh,North,Al-Malqa,apartment,191,1,2,5,Yes,7,No,Sale,1577676.81,2024-01-13
Riyadh,South,Al-Aziziyah,apartment,277,4,3,4,Yes,2,Yes,Sale,276372.99,2020-03-01
Riyadh,East,Al-Sulay,apartment,279,3,3,2,Yes,7,No,Sale,1241206.54,2021-04-23
Riyadh,East,Al-Naseem Al-Sharqi (Eastern Naseem),apartment,136,1,2,4,Yes,8,No,Sale,542975.82,2022-01-22
Riyadh,Central,Al-Olaya,apartment,249,3,2,1,Yes,6,Yes,Sale,478683.51,2022-11-25
Riyadh,South,Al-Shifa,apartment,140,1,2,4,Yes,5,No,Sale,203299.74,2020-06-04
Riyadh,West,Dhahret Laban,apartment,238,4,4,3,No,3,No,Sale,635384.31,2022-07-01
Riyadh,West,Al-Mousa,apartment,99,3,4,1,No,3,Yes,Sale,435730.65,2024-01-27
Riyadh,West,Al-Suwaidi,apartment,166,2,1,3,Yes,1,Yes,Sale,582042.89,2022-08-24
Riyadh,East,Qurtubah,apartment,91,4,4,1,No,4,Yes,Sale,448307.04,2020-09-01
Riyadh,North,Al-Izdihar,apartment,110,2,1,3,Yes,10,Yes,Sale,1109765.6,2021-05-02
Riyadh,West,Shubra,apartment,251,4,3,5,No,6,No,Sale,847528.63,2024-11-28
Riyadh,East,Al-Rayan,apartment,130,2,4,2,Yes,9,Yes,Sale,641050.81,2024-09-03
Riyadh,East,Al-Quds,apartment,266,3,3,4,No,1,No,Sale,1125444.5,2024-12-27
Riyadh,Central,Al-Sulaimaniya,apartment,232,3,4,1,Yes,10,Yes,Sale,412323.15,2024-03-13
Riyadh,West,Al-Huda,apartment,249,1,1,2,No,8,No,Sale,914899.81,2021-07-02
Riyadh,West,Ad-Diriyah,apartment,175,4,1,3,No,6,No,Sale,519240.4,2020-06-28
Riyadh,West,Namar,apartment,136,3,2,4,No,3,Yes,Sale,392583.52,2021-01-24
Riyadh,North,Al-Nakheel Al-Sharqi (Eastern Nakheel),apartment,189,3,2,4,Yes,3,No,Sale,2151111.01,2022-07-30
Riyadh,North,Al-Aarid,apartment,203,1,2,1,No,6,No,Sale,1664997.49,2021-07-13
Riyadh,West,Al-Suwaidi,apartment,280,2,2,4,Yes,5,Yes,Sale,844141.03,2024-09-06
Riyadh,East,Al-Nahda,apartment,170,1,2,5,Yes,2,No,Sale,824788.77,2024-10-28
Riyadh,South,Al-Dar Al-Baida,apartment,277,1,3,4,No,7,Yes,Sale,397809.75,2024-08-12
Riyadh,South,Al-Marwah,apartment,215,2,2,5,Yes,6,Yes,Sale,321021.82,2021-10-28
Riyadh,West,Shubra,apartment,224,3,1,2,Yes,7,No,Sale,912405.42,2024-10-29
Riyadh,East,Al-Rayan,apartment,96,3,1,1,No,10,No,Sale,348378.63,2023-05-02
Riyadh,North,Al-Izdihar,apartment,120,4,2,3,No,5,Yes,Sale,1009046.98,2020-10-14
Riyadh,Central,Al-Jaradiyah,apartment,236,3,4,1,Yes,8,No,Sale,375351.2,2020-08-02
Riyadh,Central,Al-Olaya,apartment,166,3,2,5,Yes,10,Yes,Sale,202874.6,2021-06-07
Riyadh,East,Al-Shuhada,apartment,177,1,4,3,Yes,6,No,Sale,699028.43,2020-12-31
Riyadh,South,Al-Marwah,apartment,249,2,4,2,No,9,Yes,Sale,302697.25,2021-04-27
Riyadh,West,Al-Badiyah,apartment,215,2,2,4,No,8,Yes,Sale,452468.82,2020-02-25
Riyadh,East,Ishbiliyah,apartment,275,2,1,2,Yes,3,Yes,Sale,1013714.99,2022-06-16
Riyadh,Central,Al-Malaz,apartment,220,2,2,3,Yes,1,Yes,Sale,374458.29,2021-04-25
Riyadh,South,Al-Mansourah,apartment,152,4,3,1,No,1,No,Sale,168521.88,2023-06-23
Riyadh,North,Al-Yasmeen,apartment,204,2,1,2,Yes,10,Yes,Sale,2174724.25,2022-12-27
Riyadh,West,Al-Oraija Al-Gharbi (Western Oraija),apartment,197,4,4,3,No,10,Yes,Sale,788397.51,2024-02-25
Riyadh,East,Al-Rimal,apartment,120,3,2,2,Yes,8,No,Sale,500712.62,2021-09-07
Riyadh,Central,Al-Wurud,apartment,268,2,3,5,Yes,5,No,Sale,352569.22,2023-07-27
Riyadh,East,Al-Naseem Al-Sharqi (Eastern Naseem),apartment,233,1,3,2,No,3,Yes,Sale,806002.81,2023-10-06
Riyadh,West,Shubra,apartment,225,1,4,5,Yes,4,No,Sale,728316.59,2020-06-12
Riyadh,East,Al-Nahda,apartment,140,1,4,1,Yes,6,No,Sale,711626.45,2021-04-20
Riyadh,West,Dhahret Laban,apartment,135,2,3,5,Yes,3,Yes,Sale,507992.96,2021-11-13
Riyadh,North,Al-Nakheel,apartment,189,1,2,4,No,7,Yes,Sale,1540033.2,2022-08-28
Riyadh,East,Al-Yarmouk,apartment,105,3,4,4,No,10,No,Sale,469795.96,2022-09-03
Riyadh,West,Sultanah,apartment,269,2,4,4,Yes,1,No,Sale,878490.85,2021-09-09
Riyadh,South,Al-Dar Al-Baida,apartment,140,4,3,3,No,3,Yes,Sale,158818.63,2020-12-06
Riyadh,North,Al-Jameah (University District),apartment,198,1,4,3,No,8,No,Sale,2481131.58,2023-10-24
Riyadh,East,Al-Rawdah,apartment,99,3,1,4,Yes,8,Yes,Sale,420675.5,2021-05-09
Riyadh,North,Al-Rabi,apartment,125,1,4,1,Yes,5,Yes,Sale,1029525.37,2024-08-13
Riyadh,North,Al-Izdihar,apartment,152,4,3,5,No,2,No,Sale,1505897.69,2023-10-11
Riyadh,Central,Al-Yamamah,apartment,198,1,1,3,Yes,7,No,Sale,219887.59,2021-07-14
Riyadh,East,Ishbiliyah,apartment,203,3,3,4,Yes,3,No,Sale,705714.2,2024-07-25
Riyadh,East,Qurtubah,apartment,284,4,2,4,Yes,2,No,Sale,1005906.59,2021-05-21
Riyadh,East,Al-Khaleej,apartment,252,2,4,5,Yes,10,No,Sale,1191443.8,2022-09-22
Riyadh,South,Al-Dar Al-Baida,apartment,244,1,3,1,No,6,Yes,Sale,335123.71,2021-06-15
Riyadh,East,Al-Jazirah,apartment,259,2,3,3,No,8,No,Sale,1040697.98,2020-11-24
Riyadh,West,Al-Mousa,apartment,227,4,3,2,Yes,10,Yes,Sale,949835.79,2023-03-22
Riyadh,West,Ad-Diriyah,apartment,254,3,1,3,Yes,1,No,Sale,598181.61,2021-08-28
Riyadh,East,Al-Rawdah,apartment,274,3,2,4,Yes,5,Yes,Sale,1038649.95,2021-10-24
Riyadh,Central,Al-Jaradiyah,apartment,282,2,2,2,No,4,No,Sale,530582.22,2021-03-23
Riyadh,West,Tuwaiq,apartment,275,3,3,3,Yes,3,No,Sale,1066146.89,2022-04-28
Riyadh,East,Al-Yarmouk,apartment,268,1,4,2,Yes,6,Yes,Sale,1155790.76,2023-01-21
Riyadh,East,Al-Munsiyah,apartment,182,2,3,3,Yes,6,Yes,Sale,594651.22,2021-03-01
Riyadh,West,Al-Oraija Al-Gharbi (Western Oraija),apartment,254,3,2,5,Yes,5,Yes,Sale,1030882.43,2024-04-19
Riyadh,Central,Al-Murqab,apartment,111,3,1,5,No,5,No,Sale,164725.01,2022-11-04
Riyadh,East,Al-Khaleej,apartment,113,4,1,4,No,1,Yes,Sale,520653.44,2020-02-11
Riyadh,North,Al-Qirawan,apartment,178,4,3,1,No,10,Yes,Sale,1430871.27,2022-06-24
Riyadh,North,Al-Aqiq,apartment,107,3,4,4,Yes,5,Yes,Sale,1281339.05,2020-08-20
Riyadh,South,Al-Mansourah,apartment,153,2,4,5,No,3,Yes,Sale,136790.81,2020-02-18
Riyadh,Central,Al-Murqab,apartment,131,3,4,3,Yes,6,No,Sale,251140.37,2021-11-21
Riyadh,West,Ad-Diriyah,apartment,203,4,4,1,No,4,Yes,Sale,779277.06,2022-03-12
Riyadh,Central,Al-Yamamah,apartment,158,4,2,2,Yes,8,Yes,Sale,191514.39,2020-05-28
Riyadh,East,Al-Hamra,apartment,255,4,2,4,Yes,10,No,Sale,1243386.67,2022-10-31
Riyadh,East,Al-Quds,apartment,97,4,3,2,Yes,1,Yes,Sale,459618.91,2023-09-15
Riyadh,South,Al-Khalidiyah,apartment,237,3,4,2,No,2,No,Sale,320632.81,2021-09-26
Riyadh,East,Al-Shuhada,apartment,189,1,1,4,Yes,2,No,Sale,708246.43,2024-11-25
Riyadh,North,Al-Maseef,apartment,281,2,2,5,No,7,Yes,Sale,2259548.11,2021-11-26
